City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
225,Luanda,AO,-8.8368,13.2343,77.0,83,75,3.44,broken clouds
226,Rundu,NA,-17.9333,19.7667,42.04,63,8,7.11,clear sky
227,Rio Grande,BR,-32.035,-52.0986,58.95,94,100,11.81,overcast clouds
228,Balabac,PH,7.9868,117.0645,85.17,70,100,5.3,overcast clouds
229,Novoilinsk,RU,51.6829,108.7143,58.77,81,100,10.18,overcast clouds
230,Tianpeng,CN,30.9866,103.9393,82.63,38,99,3.22,light rain
231,Waverly,US,42.7392,-84.6208,76.93,64,1,11.5,clear sky
232,Evensk,RU,61.95,159.2333,47.05,84,100,2.39,overcast clouds
233,Catuday,PH,16.2923,119.8062,84.69,68,100,10.07,overcast clouds
234,Krasnaya Gora,RU,52.9995,31.6023,58.91,78,100,4.47,overcast clouds
235,Goderich,CA,43.7501,-81.7165,75.2,84,28,14.0,scattered clouds
236,Varkaus,FI,62.3153,27.873,66.31,65,99,4.81,overcast clouds
237,Sola,VU,-13.8833,167.55,79.39,74,94,10.98,overcast clouds
238,Pacific Grove,US,36.6177,-121.9166,60.28,85,90,4.0,overcast clouds
239,Kabanjahe,ID,3.1001,98.4908,74.16,46,38,3.8,scattered clouds
240,Bethel,US,41.3712,-73.414,79.81,64,1,5.75,clear sky
241,Severnoye,RU,56.3491,78.3619,66.81,60,28,13.06,scattered clouds
242,Ikom,NG,5.9667,8.7063,72.91,99,100,1.74,light rain
243,Bilma,NE,18.6853,12.9164,89.78,18,100,8.93,overcast clouds
244,Hay River,CA,60.8156,-115.7999,49.96,66,40,0.0,scattered clouds
245,Mukhen,RU,48.1,136.1,60.82,56,99,8.19,overcast clouds
246,Medvedka,RU,61.1629,46.387,70.43,51,3,3.22,clear sky
247,Hayden,US,47.766,-116.7866,59.56,38,1,11.5,clear sky
248,Lata,PT,40.1629,-8.3327,59.81,88,0,1.3,clear sky
249,Ostrovnoy,RU,68.0531,39.5131,41.25,73,85,13.04,overcast clouds
250,Novyy Urgal,RU,51.0736,132.5642,73.29,30,4,0.94,clear sky
251,Bria,CF,6.5423,21.9863,68.58,97,100,2.82,overcast clouds
252,Gold Coast,AU,-28.0,153.4333,73.04,48,0,1.01,clear sky
253,Zavetnoye,RU,47.1194,43.8903,61.75,73,39,9.13,scattered clouds
254,Solnechnyy,RU,50.7214,136.6319,57.22,68,74,5.59,broken clouds
255,Inta,RU,66.0317,60.1659,44.2,50,49,14.18,scattered clouds
256,Nanjangud,IN,12.1197,76.6828,79.84,68,67,7.81,broken clouds
257,Bahadurgarh,IN,28.6833,76.9167,87.91,27,3,3.78,clear sky
258,Kamenka,RU,51.3223,42.7678,55.09,96,100,9.13,overcast clouds
259,Westport,US,41.1415,-73.3579,81.86,76,1,3.0,clear sky
260,Esperance,AU,-33.8667,121.9,67.84,55,28,20.02,scattered clouds
261,Otradnoye,RU,59.7775,30.8181,62.65,62,100,2.98,overcast clouds
262,Peremyshlyany,UA,49.6652,24.5585,48.52,92,62,3.44,broken clouds
263,Santiago Del Estero,AR,-27.7951,-64.2615,60.8,68,97,10.45,overcast clouds
264,Orito,CO,0.6766,-76.8771,70.66,96,55,3.56,broken clouds
265,Ambositra,MG,-20.5167,47.25,53.92,95,68,2.91,light rain
266,Athens,GR,37.9795,23.7162,72.57,64,0,1.99,clear sky
267,Bathsheba,BB,13.2167,-59.5167,81.21,65,20,17.05,few clouds
268,Tyukalinsk,RU,55.8732,72.1967,65.75,58,11,12.17,few clouds
269,Faanui,PF,-16.4833,-151.75,80.8,74,10,9.71,clear sky
270,Cabedelo,BR,-6.9811,-34.8339,75.87,87,95,9.66,overcast clouds
271,Ekimchan,RU,53.0667,132.9667,73.98,26,51,8.79,broken clouds
272,Margate,GB,51.3813,1.3862,58.21,83,9,4.94,clear sky
273,Mount Darwin,ZW,-16.7725,31.5838,46.42,83,22,3.74,few clouds
274,Kangaba,ML,11.9333,-8.4167,80.87,62,6,7.0,clear sky
275,Zabol,AF,32.25,67.25,78.39,30,0,4.79,clear sky
276,Victoria,HK,22.2855,114.1577,88.32,68,36,1.01,scattered clouds
277,Lagoa,PT,39.05,-27.9833,62.91,88,99,10.33,overcast clouds
278,Amazar,RU,53.858,120.875,80.58,24,62,8.03,broken clouds
279,Cidreira,BR,-30.1811,-50.2056,64.11,92,100,8.21,moderate rain
280,Lenoir City,US,35.7973,-84.256,75.76,97,100,3.96,overcast clouds
281,Puerto Maldonado,PE,-12.6,-69.1833,76.19,77,98,0.56,overcast clouds
282,Ajdabiya,LY,30.7554,20.2263,68.94,40,0,8.57,clear sky
283,Palmer,US,42.1584,-72.3287,76.17,81,1,4.9,clear sky
284,Sorkjosen,NO,69.8,20.9333,45.54,67,10,2.46,clear sky
